PM10 Concentration,PM2.5 Concentration,CO Concentration,NO2 Concentration
24.82689611121354,26.019785623743285,0.36978549701381785,17.614597286723203
24.825908353476787,25.98431990777335,0.3687495704820534,17.58895986413769
24.826556218452772,25.9451893263237,0.367655591267867,17.559050090181152
24.83029351914322,25.903923461994758,0.3664640919366596,17.520713618086983
24.83978874991013,25.864980391323986,0.36492316654620083,17.46737754459155
24.859878034649075,25.833801408148155,0.36228539804353316,17.37653585846448
24.89594253854296,25.789780941213884,0.3575203457679559,17.209776616124707
24.993371350389737,25.642307386126095,0.35427709903167154,17.04509402097341
25.122065234364875,25.467504037544856,0.3534349697572483,17.004443628489273
25.347507388565496,25.41946468694286,0.3550677133614655,17.08874134898984
25.635125485299096,25.520467289960415,0.35804770065218827,17.228882062870905
25.893041899535916,25.67760043809095,0.3620573589488151,17.33898209393422
26.07976117763541,25.84269417593652,0.3664711302115427,17.42419987256606
26.209948000358413,25.97470310987531,0.3709119876652898,18.101934706502465
26.318588472747592,26.1303629217257,0.37747001109822204,21.036630764337062
26.41526941187416,26.348166843865574,0.3898382315114272,26.552372754353236
26.45053202756295,26.589522561395146,0.4066830171137028,31.826008099320816
26.429486359336614,26.791093588653197,0.4288216683935663,34.155786182452566
26.734464897130763,26.841352627816526,0.45771261525559614,33.962765263762485
27.66455676308788,26.308386171763935,0.48251562735796066,33.06245951740655
28.7803684754694,24.502048762268902,0.4802049979472168,32.126007140212614
29.318785930211202,22.600801228868843,0.4640781455250335,30.738209060334018
29.21978320019438,21.709998655195314,0.4489636307721235,28.583457625228302
28.920631601325464,21.1649224937612,0.43680007115385866,25.668793763419753
28.57667406201754,20.729580722587404,0.42812994938145676,22.582278886505414
28.186143537145885,20.357993068436713,0.42263882194873564,19.96423056473682
27.74273143762991,20.013255453699944,0.4181475864569144,18.079014409709785
27.244975925409115,19.668366266348297,0.41458879254081094,16.999410871553344
26.77218538649164,19.362116744169253,0.41241075210688144,16.59642730256651
26.390830819768652,19.15714594967043,0.41060906725263,16.613674971675866
26.083020751201886,18.981585644090064,0.4090233654224717,16.837546845480627
25.552796212817352,18.41820278509337,0.40134005825558255,17.286534429042398
23.94466181445237,16.827244575387013,0.366955181576141,17.98522291983567
20.918714804206335,14.140747449718166,0.3065672076905551,18.625844582152986
16.75169036153433,10.86999937651481,0.24730348855368872,18.870628276534045
12.30622917682653,7.7959994118771485,0.2178174997599158,18.831317866386783
8.710065424166169,5.6987690811500515,0.21405771247157687,18.7501530570781
6.762593309961197,4.682057676304016,0.21736004627907732,18.767279350741507
6.129628959172679,4.2133049734921215,0.22260555947108163,18.81326183433864
5.794067515435947,3.8759145308287275,0.22924979973901408,18.84412040372331
5.42491562760015,3.6505998083404885,0.23705482415002596,18.814080262141424
5.0976204708233075,3.624197059320307,0.24592196672154942,18.62078499590698
4.970533454496321,3.724845931309497,0.25431214372939104,18.33064439598142
5.059571710950215,3.883365229957769,0.25988808080239684,17.92166663223291
5.285104881351189,4.1299348805969585,0.26103661583490856,17.413278839891785
5.58170168392333,4.470254121133203,0.25736822654591246,16.971621167458665
5.958444693356676,4.825411422380182,0.25024313960712186,16.721067159624514
